item_id,order_id,product_id,quantity,unit_price
1,1,109,2,121.01
2,1,184,5,7.01
3,1,192,2,168.42
4,2,87,2,71.9
5,2,100,4,157.59
6,2,83,3,336.28
7,2,133,4,153.96
8,3,61,2,101.27
9,3,33,5,441.77
10,3,85,1,449.27
11,4,19,3,270.6
12,5,41,1,256.6
13,6,98,5,139.3
14,6,122,1,211.24
15,6,189,1,184.66
16,8,83,2,330.76
17,8,64,3,1274.14
18,9,182,3,59.06
19,9,26,2,297.75
20,9,55,1,119.86
21,9,163,3,21.69
22,10,152,2,89.19
23,11,127,4,81.62
24,11,98,3,131.51
25,11,131,5,727.91
26,11,105,4,151.06
27,12,165,1,69.76
28,12,143,2,217.52
29,13,20,1,523.95
30,14,166,1,350.7
31,14,45,3,150.65
32,14,84,3,189.42
33,14,142,2,106.13
34,15,179,2,72.75
35,15,46,4,68.9
36,15,35,1,332.68
37,16,83,2,342.51
38,17,109,5,113.45
39,17,146,1,20.14
40,19,159,2,69.37
41,20,151,-1,110.57
42,20,51,-4,79.13
43,20,70,4,164.14
44,20,67,4,29.3
45,22,199,2,100.57
46,22,56,1,520.84
47,23,158,3,1181.4
48,23,157,4,178.3
49,23,175,5,7.2
50,23,102,5,36.96
51,24,45,5,151.29
52,25,124,3,98.32
53,25,103,2,161.87
54,26,151,2,114.36
55,26,10,4,96.06
56,26,100,3,159.86
57,26,110,2,387.54
58,27,27,5,13.5
59,27,198,4,55.58
60,27,35,5,338.94
61,28,176,1,268.1
62,28,23,3,200.97
63,28,119,1,136.58
64,29,50,3,139.4
65,29,108,5,89.9
66,29,116,5,1401.48
67,30,136,3,229.58
68,32,166,4,343.25
69,32,18,1,177.56
70,32,145,1,31.82
71,32,39,2,18.85
72,33,176,3,297.86
73,33,81,3,32.45
74,33,153,2,383.65
75,33,128,5,196.46
76,34,193,2,58.09
77,34,62,3,17.07
78,35,124,2,105.75
79,35,56,5,509.49
80,36,28,1,198.02
81,36,42,4,131.59
82,36,107,5,63.69
83,37,195,1,371.85
84,37,68,3,132.88
85,37,112,1,187.01
86,38,141,3,1066.71
87,38,143,2,214.78
88,38,111,2,27.47
89,39,8,4,395.2
90,39,72,1,41.19
91,40,7,5,100.57
92,40,80,5,197.06
93,40,157,5,188.45
94,40,195,5,358.5
95,41,83,3,321.55
96,42,66,4,98.64
97,42,36,-2,322.85
98,42,197,4,52.69
99,43,174,4,48.35
100,44,193,2,58.68
101,45,41,5,256.39
102,46,69,4,119.42
103,47,72,4,47.48
104,47,198,-1,58.75
105,47,56,4,563.54
106,48,93,3,145.73
107,49,69,2,128.15
108,49,2,-2,27.07
109,49,117,1,169.9
110,50,32,4,826.52
111,51,161,3,33.1
112,52,197,2,58.88
113,53,47,3,16.26
114,54,23,4,188.21
115,54,47,4,15.89
116,54,72,5,47.16
117,54,99,5,269.61
118,55,58,4,119.38
119,55,156,4,280.32
120,55,163,5,21.89
121,56,23,5,184.7
122,56,87,1,73.59
123,56,55,4,107.77
124,57,148,4,109.18
125,57,105,3,159.39
126,59,183,2,291.99
127,61,104,5,840.38
128,61,191,1,263.28
129,62,55,2,117.23
130,62,37,5,131.86
131,62,75,4,177.23
132,62,191,3,258.22
