order_id,customer_id,order_date,status,total_amount
1.0,412,2024-10-16,completed,613.91
2.0,517,2024-07-01,completed,2398.84
3.0,534,2024-08-24,completed,2860.66
4.0,783,2025-09-16,completed,811.8
5.0,779,2025-09-06,cancelled,256.6
6.0,906,2024-03-24,cancelled,1092.4
,503,2025-08-30,completed,0.0
8.0,101,2025-05-12,completed,4483.94
9.0,455,2025-07-26,returned,957.61
10.0,24,2026-03-10,completed,178.38
11.0,804,2024-07-03,cancelled,4964.8
12.0,719,2026-02-10,completed,504.8
13.0,626,2025-01-24,completed,523.95
14.0,318,2025-11-23,completed,1583.17
15.0,385,2026-01-23,completed,753.78
16.0,408,2024-05-27,returned,685.02
17.0,504,2026-02-28,completed,587.39
,466,2024-07-27,completed,0.0
19.0,361,2024-04-25,completed,138.74
20.0,394,2026-03-04,completed,773.76
,307,2025-07-06,completed,0.0
22.0,683,2025-05-25,returned,721.98
23.0,727,2026-02-24,completed,4478.2
24.0,244,2025-06-19,cancelled,756.45
25.0,584,2025-01-07,completed,618.7
26.0,883,2024-04-11,completed,1867.62
27.0,977,2024-09-10,completed,1984.52
28.0,187,2025-03-10,completed,1007.59
29.0,454,2025-08-02,completed,7875.1
30.0,259,2026-02-13,completed,688.74
,91,2025-07-08,completed,0.0
32.0,960,2024-12-17,completed,1620.08
33.0,885,2025-08-05,completed,2740.53
34.0,111,2025-10-20,completed,167.39
35.0,311,2025-07-12,cancelled,2758.95
36.0,764,2025-10-07,returned,1042.83
37.0,106,2025-12-10,returned,957.5
38.0,985,2025-07-06,returned,3684.63
39.0,588,2024-10-05,completed,1621.99
40.0,74,2025-07-08,completed,4222.9
41.0,222,2024-12-11,completed,964.65
42.0,553,2024-06-13,cancelled,605.32
43.0,743,2024-05-17,completed,193.4
44.0,617,2025-03-10,completed,117.36
45.0,83,2025-07-19,completed,1281.95
46.0,253,2025-03-25,cancelled,477.68
47.0,375,2024-04-03,completed,2444.08
48.0,584,2025-05-10,completed,437.19
49.0,849,2025-05-10,completed,426.2
50.0,369,2024-10-04,cancelled,3306.08
51.0,31,2025-09-13,completed,99.3
52.0,773,2025-10-19,returned,117.76
53.0,408,2024-07-28,cancelled,48.78
54.0,122,2025-03-06,completed,2400.25
55.0,385,2025-07-02,cancelled,1708.25
56.0,264,2025-01-29,completed,1428.17
57.0,650,2025-05-09,completed,914.89
,414,2024-05-29,completed,0.0
59.0,881,2024-05-03,cancelled,583.98
,710,2026-01-11,cancelled,0.0
61.0,747,2025-10-20,completed,4465.18
62.0,338,2024-07-31,completed,2377.34
63.0,332,2025-11-02,completed,1851.08
,245,2024-04-01,returned,0.0
65.0,76,2025-04-28,cancelled,2608.29
66.0,889,2025-04-14,completed,1171.37
67.0,282,2025-11-01,completed,4360.47
68.0,490,2025-03-10,completed,1228.02
69.0,827,2025-04-01,completed,1133.05
70.0,434,2025-05-19,completed,398.41
71.0,183,2025-08-21,completed,4179.15
72.0,953,2025-10-16,returned,2035.03
73.0,149,2024-06-16,completed,1297.59
74.0,165,2025-09-19,completed,1038.22
75.0,166,2026-02-21,completed,209.1
76.0,253,2026-01-03,completed,0.0
77.0,159,2024-07-28,completed,713.05
78.0,918,2025-05-29,completed,267.54
79.0,73,2024-07-27,completed,906.88
80.0,464,2025-04-27,completed,1664.24
81.0,659,2025-10-24,returned,320.6
82.0,188,2024-06-15,cancelled,1354.3
83.0,817,2024-06-20,completed,166.53
84.0,742,2024-08-15,completed,780.8
85.0,831,2024-07-13,completed,276.92
86.0,922,2025-05-03,completed,5432.84
87.0,933,2025-11-30,cancelled,1331.38
88.0,341,2024-04-12,completed,7068.49
89.0,55,2026-03-04,cancelled,4031.5
90.0,751,2025-03-22,completed,304.97
91.0,211,2024-12-08,completed,2592.11
92.0,925,2025-04-19,completed,0.0
93.0,754,2025-01-21,returned,2693.93
94.0,3,2026-02-06,completed,2410.12
95.0,880,2024-03-18,completed,2430.62
96.0,63,2024-10-23,completed,254.9
97.0,434,2026-02-07,completed,1222.24
98.0,154,2025-04-01,completed,298.84
99.0,155,2025-10-11,completed,5713.05
100.0,923,2025-07-12,completed,5174.42
101.0,719,2025-02-06,completed,696.06
102.0,460,2025-05-13,completed,2070.39
103.0,75,2025-08-08,returned,966.44
104.0,471,2025-04-04,completed,2490.3
,556,2026-03-08,completed,0.0
106.0,178,2024-11-30,cancelled,256.24
,584,2025-04-15,completed,0.0
108.0,42,2024-08-18,cancelled,2429.55
109.0,746,2024-05-29,returned,1843.96
110.0,749,2025-11-07,completed,5115.09
111.0,751,2024-09-07,completed,432.6
112.0,659,2024-08-02,returned,3517.05
,714,2024-10-23,completed,0.0
114.0,365,2025-11-16,completed,55.8
115.0,896,2026-02-15,completed,308.8
116.0,562,2025-06-01,completed,424.76
117.0,724,2024-08-22,completed,425.58
118.0,909,2024-12-05,completed,288.07
119.0,402,2024-06-19,completed,512.23
120.0,341,2025-06-15,completed,483.84
121.0,259,2024-05-11,completed,2830.85
122.0,128,2024-09-20,completed,2735.32
123.0,134,2024-12-22,completed,229.48
