return_id,order_id,return_date,reason,refund_amount
1,5142.0,2025-11-11,changed_mind,3397.94
2,9900.0,2025-04-23,wrong_item,721.59
3,2526.0,2025-04-23,defective,4130.58
4,4150.0,2025-08-03,defective,3665.68
5,3150.0,2025-01-04,wrong_item,3004.55
6,1020.0,2020-01-01 00:00:00,wrong_item,16.97
7,1671.0,2025-05-25,wrong_item,33.35
8,5076.0,2025-08-28,wrong_item,1351.57
9,6903.0,2025-11-18,damaged,49.5
10,6347.0,2026-01-15,defective,567.69
11,2209.0,2025-02-15,changed_mind,158.45
12,7290.0,2026-02-26,wrong_item,38.96
13,8877.0,2024-05-17,defective,334.24
14,4991.0,2024-08-31,defective,1334.77
15,5853.0,2025-11-21,wrong_item,537.53
16,2093.0,2024-07-02,defective,2439.02
17,5697.0,2024-12-28,changed_mind,2271.64
18,3951.0,2026-02-13,damaged,42.24
19,886.0,2025-03-19,changed_mind,134.92
20,284.0,2020-01-01 00:00:00,defective,1251.72
21,5523.0,2025-03-21,defective,657.97
22,6827.0,2024-06-23,defective,317.84
23,3362.0,2025-02-17,changed_mind,319.71
24,4969.0,2025-10-21,wrong_item,786.16
25,1964.0,2026-02-26,damaged,192.73
26,8817.0,2025-12-24,damaged,42.7
27,7204.0,2025-06-01,damaged,39.21
28,6886.0,2024-04-16,wrong_item,37.38
29,6499.0,2025-09-26,changed_mind,91.35
30,3229.0,2025-06-15,damaged,1489.74
31,7138.0,2025-09-23,changed_mind,103.48
32,5593.0,2024-07-09,damaged,693.64
33,,2024-09-28,changed_mind,22.68
34,3578.0,2024-09-27,changed_mind,2811.1
35,9905.0,2025-07-13,changed_mind,614.54
36,6824.0,2024-08-30,damaged,26.0
37,7793.0,2025-11-03,defective,143.03
38,5247.0,2024-11-06,wrong_item,2097.73
39,2905.0,2024-07-03,defective,92.46
40,646.0,2025-11-09,defective,245.92
41,511.0,2025-10-21,wrong_item,331.54
42,5495.0,2025-04-17,defective,305.85
43,9941.0,2024-05-25,wrong_item,278.97
44,4082.0,2025-05-01,changed_mind,143.16
45,6098.0,2025-08-05,wrong_item,2104.51
46,2883.0,2025-09-16,damaged,608.3
47,,2025-07-30,defective,32.97
48,2748.0,2020-01-01 00:00:00,damaged,967.56
49,,2025-10-23,defective,11.77
50,5808.0,2024-12-14,changed_mind,859.5
51,4158.0,2025-09-09,defective,3846.65
52,3624.0,2025-07-26,defective,760.92
53,252.0,2025-12-01,changed_mind,511.71
54,1927.0,2026-02-09,damaged,174.01
55,1679.0,2025-06-27,damaged,1040.55
56,3510.0,2025-08-27,wrong_item,49.93
57,4525.0,2024-08-17,damaged,757.38
58,2241.0,2025-05-21,wrong_item,84.13
59,6091.0,2024-06-19,defective,433.05
60,8505.0,2024-06-22,changed_mind,401.44
61,7225.0,2026-01-13,changed_mind,2341.02
62,,2026-02-02,damaged,14.8
63,5368.0,2025-10-18,defective,527.88
64,,2025-11-13,defective,32.82
65,4826.0,2025-10-01,damaged,172.73
66,7219.0,2025-03-09,changed_mind,109.49
67,1649.0,2024-12-25,wrong_item,295.69
