item_id,order_id,product_id,quantity,unit_price,line_total
1,1,109,2,121.01,242.02
2,1,184,5,7.01,35.05
3,1,192,2,168.42,336.84
4,2,87,2,71.9,143.8
5,2,100,4,157.59,630.36
6,2,83,3,336.28,1008.84
7,2,133,4,153.96,615.84
8,3,61,2,101.27,202.54
9,3,33,5,441.77,2208.85
10,3,85,1,449.27,449.27
11,4,19,3,270.6,811.8
12,5,41,1,256.6,256.6
13,6,98,5,139.3,696.5
14,6,122,1,211.24,211.24
15,6,189,1,184.66,184.66
16,8,83,2,330.76,661.52
17,8,64,3,1274.14,3822.42
18,9,182,3,59.06,177.18
19,9,26,2,297.75,595.5
20,9,55,1,119.86,119.86
21,9,163,3,21.69,65.07
22,10,152,2,89.19,178.38
23,11,127,4,81.62,326.48
24,11,98,3,131.51,394.53
25,11,131,5,727.91,3639.55
26,11,105,4,151.06,604.24
29,13,20,1,523.95,523.95
30,14,166,1,350.7,350.7
31,14,45,3,150.65,451.95
32,14,84,3,189.42,568.26
33,14,142,2,106.13,212.26
34,15,179,2,72.75,145.5
35,15,46,4,68.9,275.6
36,15,35,1,332.68,332.68
37,16,83,2,342.51,685.02
38,17,109,5,113.45,567.25
39,17,146,1,20.14,20.14
40,19,159,2,69.37,138.74
43,20,70,4,164.14,656.56
44,20,67,4,29.3,117.2
45,22,199,2,100.57,201.14
46,22,56,1,520.84,520.84
47,23,158,3,1181.4,3544.2
48,23,157,4,178.3,713.2
49,23,175,5,7.2,36.0
50,23,102,5,36.96,184.8
51,24,45,5,151.29,756.45
52,25,124,3,98.32,294.96
53,25,103,2,161.87,323.74
54,26,151,2,114.36,228.72
55,26,10,4,96.06,384.24
56,26,100,3,159.86,479.58
57,26,110,2,387.54,775.08
58,27,27,5,13.5,67.5
59,27,198,4,55.58,222.32
60,27,35,5,338.94,1694.7
61,28,176,1,268.1,268.1
62,28,23,3,200.97,602.91
63,28,119,1,136.58,136.58
64,29,50,3,139.4,418.2
65,29,108,5,89.9,449.5
66,29,116,5,1401.48,7007.4
68,32,166,4,343.25,1373.0
69,32,18,1,177.56,177.56
70,32,145,1,31.82,31.82
71,32,39,2,18.85,37.7
72,33,176,3,297.86,893.58
73,33,81,3,32.45,97.35
74,33,153,2,383.65,767.3
75,33,128,5,196.46,982.3
76,34,193,2,58.09,116.18
77,34,62,3,17.07,51.21
78,35,124,2,105.75,211.5
79,35,56,5,509.49,2547.45
80,36,28,1,198.02,198.02
81,36,42,4,131.59,526.36
