order_id,customer_id,order_date,status,total_amount
1,412,2024-10-16,completed,613.91
2,517,2024-07-01,completed,2398.84
3,534,2024-08-24,completed,2860.66
4,783,2025-09-16,completed,811.8
5,779,2025-09-06,cancelled,256.6
6,906,2024-03-24,cancelled,1092.4
8,101,2025-05-12,completed,4483.94
9,455,2025-07-26,returned,957.61
10,24,2026-03-10,completed,178.38
11,804,2024-07-03,cancelled,4964.8
13,626,2025-01-24,completed,523.95
14,318,2025-11-23,completed,1583.17
15,385,2026-01-23,completed,753.78
16,408,2024-05-27,returned,685.02
17,504,2026-02-28,completed,587.39
19,361,2024-04-25,completed,138.74
20,394,2026-03-04,completed,773.76
22,683,2025-05-25,returned,721.98
23,727,2026-02-24,completed,4478.2
24,244,2025-06-19,cancelled,756.45
25,584,2025-01-07,completed,618.7
26,883,2024-04-11,completed,1867.62
27,977,2024-09-10,completed,1984.52
28,187,2025-03-10,completed,1007.59
29,454,2025-08-02,completed,7875.1
32,960,2024-12-17,completed,1620.08
33,885,2025-08-05,completed,2740.53
34,111,2025-10-20,completed,167.39
35,311,2025-07-12,cancelled,2758.95
36,764,2025-10-07,returned,1042.83
37,106,2025-12-10,returned,957.5
38,985,2025-07-06,returned,3684.63
39,588,2024-10-05,completed,1621.99
40,74,2025-07-08,completed,4222.9
41,222,2024-12-11,completed,964.65
42,553,2024-06-13,cancelled,605.32
43,743,2024-05-17,completed,193.4
44,617,2025-03-10,completed,117.36
45,83,2025-07-19,completed,1281.95
46,253,2025-03-25,cancelled,477.68
47,375,2024-04-03,completed,2444.08
48,584,2025-05-10,completed,437.19
49,849,2025-05-10,completed,426.2
50,369,2024-10-04,cancelled,3306.08
51,31,2025-09-13,completed,99.3
52,773,2025-10-19,returned,117.76
53,408,2024-07-28,cancelled,48.78
54,122,2025-03-06,completed,2400.25
55,385,2025-07-02,cancelled,1708.25
56,264,2025-01-29,completed,1428.17
57,650,2025-05-09,completed,914.89
61,747,2025-10-20,completed,4465.18
62,338,2024-07-31,completed,2377.34
63,332,2025-11-02,completed,1851.08
66,889,2025-04-14,completed,1171.37
67,282,2025-11-01,completed,4360.47
68,490,2025-03-10,completed,1228.02
69,827,2025-04-01,completed,1133.05
70,434,2025-05-19,completed,398.41
71,183,2025-08-21,completed,4179.15
72,953,2025-10-16,returned,2035.03
73,149,2024-06-16,completed,1297.59
74,165,2025-09-19,completed,1038.22
75,166,2026-02-21,completed,209.1
76,253,2026-01-03,completed,0.0
77,159,2024-07-28,completed,713.05
78,918,2025-05-29,completed,267.54
79,73,2024-07-27,completed,906.88
80,464,2025-04-27,completed,1664.24
81,659,2025-10-24,returned,320.6
82,188,2024-06-15,cancelled,1354.3
83,817,2024-06-20,completed,166.53
84,742,2024-08-15,completed,780.8
85,831,2024-07-13,completed,276.92
86,922,2025-05-03,completed,5432.84
87,933,2025-11-30,cancelled,1331.38
88,341,2024-04-12,completed,7068.49
90,751,2025-03-22,completed,304.97
91,211,2024-12-08,completed,2592.11
92,925,2025-04-19,completed,0.0
93,754,2025-01-21,returned,2693.93
94,3,2026-02-06,completed,2410.12
95,880,2024-03-18,completed,2430.62
96,63,2024-10-23,completed,254.9
97,434,2026-02-07,completed,1222.24
98,154,2025-04-01,completed,298.84
99,155,2025-10-11,completed,5713.05
100,923,2025-07-12,completed,5174.42
102,460,2025-05-13,completed,2070.39
103,75,2025-08-08,returned,966.44
104,471,2025-04-04,completed,2490.3
106,178,2024-11-30,cancelled,256.24
108,42,2024-08-18,cancelled,2429.55
109,746,2024-05-29,returned,1843.96
110,749,2025-11-07,completed,5115.09
111,751,2024-09-07,completed,432.6
112,659,2024-08-02,returned,3517.05
114,365,2025-11-16,completed,55.8
115,896,2026-02-15,completed,308.8
116,562,2025-06-01,completed,424.76
117,724,2024-08-22,completed,425.58
118,909,2024-12-05,completed,288.07
119,402,2024-06-19,completed,512.23
120,341,2025-06-15,completed,483.84
122,128,2024-09-20,completed,2735.32
123,134,2024-12-22,completed,229.48
124,655,2026-01-07,completed,1129.92
125,889,2025-01-04,completed,748.84
126,325,2024-05-17,cancelled,1152.77
127,941,2024-09-19,completed,1611.88
128,863,2025-01-22,completed,142.19
129,173,2025-08-07,completed,1422.56
130,132,2025-04-13,completed,4494.17
131,280,2024-05-08,completed,4145.49
132,283,2025-09-04,returned,1007.55
133,742,2026-03-15,completed,3564.14
134,203,2025-08-09,completed,1013.13
135,768,2024-08-05,completed,138.86
136,954,2024-12-15,completed,2655.65
137,307,2025-07-11,completed,1349.27
138,625,2025-11-07,returned,972.55
139,519,2025-06-03,completed,7240.23
140,399,2025-01-18,completed,1822.41
141,539,2024-07-08,cancelled,4914.18
142,400,2026-03-13,completed,557.55
143,361,2025-01-28,returned,424.64
144,443,2024-04-05,cancelled,459.67
145,326,2025-06-02,completed,219.86
146,321,2024-05-13,completed,7660.83
147,442,2024-06-17,completed,798.49
148,632,2024-06-06,completed,3750.9
149,402,2025-04-22,returned,1470.31
150,914,2024-05-05,cancelled,71.36
151,937,2025-06-28,completed,1595.11
152,979,2024-12-08,cancelled,3574.23
153,233,2024-11-16,completed,6274.32
154,762,2024-10-03,completed,223.04
155,698,2025-12-13,completed,840.64
156,241,2024-08-30,completed,1355.05
158,258,2024-12-18,completed,504.49
159,286,2026-02-24,cancelled,2060.3
160,219,2024-12-19,cancelled,586.11
161,571,2024-06-02,completed,1120.68
162,169,2026-01-23,completed,652.33
163,454,2024-07-24,cancelled,445.48
164,797,2025-09-01,completed,1985.5
165,698,2024-10-28,completed,1710.67
166,774,2025-11-08,completed,2902.03
167,450,2025-03-10,completed,400.34
168,999,2025-04-08,completed,1688.46
169,27,2025-08-12,completed,2068.0
170,423,2025-12-10,returned,112.64
171,289,2025-04-25,completed,377.25
172,982,2025-06-05,completed,258.93
173,588,2026-01-02,completed,2187.31
174,790,2024-07-20,cancelled,1860.63
175,224,2026-02-07,completed,88.06
176,662,2024-12-27,cancelled,2632.69
177,576,2024-11-25,completed,501.21
178,177,2025-09-10,completed,2532.38
179,244,2026-02-23,completed,2558.48
180,501,2025-04-10,completed,7129.47
181,2,2025-05-26,returned,863.1
182,993,2025-11-29,completed,3807.1
183,107,2025-03-01,completed,1974.99
184,96,2024-06-19,returned,195.4
185,319,2024-03-24,completed,527.76
186,317,2025-03-28,completed,328.64
187,210,2024-07-09,completed,0.0
188,53,2024-06-18,completed,762.76
189,322,2024-12-19,cancelled,0.0
190,787,2025-09-06,cancelled,2334.3
191,938,2024-04-25,completed,563.58
192,417,2025-08-30,completed,2260.98
193,714,2026-02-28,completed,3661.49
194,801,2025-08-17,cancelled,1392.65
195,267,2024-09-16,cancelled,6019.34
196,146,2025-06-05,completed,897.04
197,324,2025-08-16,completed,4943.53
198,155,2024-07-29,completed,5047.62
199,510,2026-03-08,completed,3336.24
200,54,2025-10-22,completed,1718.03
201,853,2025-03-20,completed,869.01
202,775,2024-10-05,completed,1744.51
203,747,2025-01-24,completed,4270.56
204,825,2026-02-04,completed,729.5
205,67,2025-12-22,cancelled,0.0
206,863,2025-11-03,completed,1962.06
207,454,2024-10-27,completed,0.0
208,820,2025-12-05,completed,3539.56
209,545,2026-02-08,completed,1419.36
210,738,2025-01-09,cancelled,1492.19
211,202,2024-11-01,cancelled,3193.23
212,504,2024-05-22,completed,1368.12
213,308,2024-05-15,completed,548.94
214,366,2025-09-02,completed,191.64
215,648,2026-02-06,completed,2672.44
216,751,2024-07-16,completed,2372.24
217,336,2024-04-28,completed,388.15
218,177,2025-09-12,cancelled,4915.35
219,62,2025-04-27,returned,27.08
220,398,2025-03-13,completed,1868.3
221,989,2025-12-17,completed,640.12
222,653,2026-02-19,completed,1475.33
223,185,2025-01-21,returned,451.29
225,454,2025-09-03,completed,1432.66
226,193,2025-03-03,completed,1343.48
227,947,2025-03-29,completed,838.78
228,288,2026-03-17,completed,649.32
229,746,2025-12-27,cancelled,1142.52
230,551,2025-08-10,completed,1432.72
231,463,2025-01-08,completed,1116.14
232,27,2025-06-11,completed,2687.95
233,370,2026-01-12,completed,2844.72
234,486,2025-09-14,completed,1728.87
237,159,2025-09-17,completed,1540.8
238,385,2024-09-12,completed,565.6
239,164,2025-09-09,completed,1064.81
240,313,2026-02-11,completed,717.65
242,68,2025-12-21,completed,6897.1
243,598,2025-04-08,completed,1202.3
244,897,2025-06-06,completed,156.52
245,841,2025-06-04,completed,1356.86
246,893,2026-02-21,completed,445.6
247,842,2025-07-24,completed,32.95
248,937,2025-12-22,completed,1290.35
249,473,2025-04-04,completed,0.0
250,586,2024-08-29,completed,1844.62
251,28,2024-05-11,completed,191.81
252,214,2025-11-21,completed,903.72
253,106,2025-03-28,completed,1282.6
254,423,2026-02-12,completed,1228.56
255,651,2025-01-21,completed,1321.04
257,245,2024-12-15,completed,5479.76
258,56,2024-06-08,completed,1150.07
259,931,2026-01-15,completed,4493.77
260,611,2024-09-16,cancelled,2561.45
261,33,2025-04-16,completed,698.36
262,931,2025-09-29,completed,416.29
263,52,2024-06-12,completed,6104.34
264,116,2024-10-22,completed,751.72
265,200,2024-10-18,cancelled,5001.72
266,855,2024-08-20,cancelled,59.73
267,690,2025-09-08,returned,91.92
268,525,2025-05-07,completed,1279.92
269,210,2024-08-23,completed,813.36
270,401,2024-10-26,returned,1259.79
271,88,2026-01-29,cancelled,483.42
272,577,2025-07-01,completed,436.67
273,801,2025-11-11,completed,1197.73
274,980,2024-04-12,completed,2672.44
275,289,2025-02-19,completed,325.84
276,971,2025-06-12,completed,1357.02
277,794,2025-03-09,completed,161.37
278,585,2024-12-03,completed,1393.16
279,217,2025-06-10,completed,1364.48
280,194,2024-11-13,cancelled,837.54
281,32,2024-12-01,completed,292.6
282,589,2024-03-21,completed,128.03
283,439,2025-12-28,completed,587.65
284,431,2024-08-01,returned,2602.74
286,934,2024-05-31,completed,570.62
287,271,2025-03-12,completed,1712.29
288,450,2024-05-18,completed,294.29
289,290,2025-03-28,completed,1530.84
290,658,2024-07-08,completed,4204.93
291,970,2024-06-16,completed,1843.8
293,305,2024-07-09,completed,1107.88
294,167,2025-07-10,completed,2272.54
295,865,2024-08-30,completed,66.26
296,215,2025-01-01,cancelled,1768.12
297,532,2024-10-22,cancelled,1249.27
298,257,2025-01-25,returned,1381.11
299,182,2024-07-29,completed,2452.46
300,597,2025-11-01,completed,1580.59
301,656,2024-06-05,completed,376.37
302,946,2025-02-01,returned,1094.55
303,923,2025-11-21,completed,1196.83
304,579,2024-07-14,completed,1058.35
305,937,2024-12-01,completed,416.65
307,335,2024-12-05,cancelled,911.6
308,743,2025-12-14,completed,1966.85
309,204,2024-08-10,completed,1478.0
310,465,2024-08-03,cancelled,4893.81
311,937,2024-04-16,cancelled,2216.78
313,853,2025-09-12,completed,3027.95
314,565,2026-01-05,completed,357.84
315,434,2024-07-13,completed,4209.89
316,775,2024-08-10,completed,959.16
317,241,2025-03-03,returned,4943.78
318,966,2025-07-17,cancelled,439.24
319,854,2024-09-28,completed,1013.75
320,188,2025-01-19,cancelled,3832.31
321,580,2025-04-24,completed,3617.0
322,375,2025-10-23,cancelled,1570.43
323,505,2025-08-22,completed,1093.06
325,729,2025-09-27,completed,7408.65
328,418,2026-01-22,cancelled,2169.22
329,221,2025-11-24,completed,1573.83
330,839,2024-12-27,completed,65.61
331,730,2024-06-06,completed,1247.99
332,876,2024-06-04,completed,1170.87
333,506,2024-04-02,completed,2438.43
334,463,2024-07-09,completed,1556.19
336,667,2025-09-29,completed,5835.0
337,138,2024-09-06,completed,1320.91
338,42,2025-07-26,completed,4629.39
339,933,2024-11-23,completed,549.28
340,214,2026-03-01,completed,1597.24
341,491,2025-09-08,completed,386.3
342,343,2025-01-29,returned,0.0
343,199,2024-10-15,cancelled,277.2
344,404,2025-03-08,returned,801.17
345,246,2025-09-25,completed,1351.25
346,82,2024-09-15,cancelled,546.9
347,886,2024-07-07,completed,398.5
348,634,2025-03-26,completed,6083.36
349,363,2024-09-16,completed,492.11
350,37,2025-09-29,returned,1031.86
351,477,2025-12-09,completed,3088.94
352,959,2026-03-14,completed,678.07
353,545,2024-09-14,returned,794.6
354,301,2025-11-07,completed,1171.68
355,310,2024-08-10,cancelled,1616.45
356,937,2025-08-16,completed,1287.86
358,61,2025-08-12,completed,445.28
359,722,2025-03-20,returned,539.16
360,535,2024-07-28,completed,971.53
361,708,2026-03-13,completed,1605.12
362,397,2025-05-24,completed,1627.84
363,173,2025-06-24,completed,3872.93
364,969,2024-09-01,completed,6913.2
365,513,2024-06-22,returned,1799.28
366,285,2024-04-15,completed,1073.77
367,673,2026-03-11,completed,619.0
368,869,2026-01-26,cancelled,5293.59
369,129,2025-01-23,cancelled,7755.65
370,977,2025-06-11,returned,829.55
371,626,2024-05-23,cancelled,1704.16
372,129,2024-04-24,completed,329.22
373,388,2025-01-09,cancelled,690.12
374,543,2024-10-28,returned,1979.09
375,437,2025-06-23,completed,2987.99
376,705,2024-09-03,completed,6379.21
377,864,2024-11-18,completed,32.65
378,386,2025-03-03,completed,1812.83
379,115,2025-03-25,completed,850.89
380,91,2025-07-01,cancelled,2787.47
381,724,2024-10-26,returned,3024.87
382,445,2024-09-30,completed,130.68
383,88,2024-10-09,completed,638.88
384,36,2024-11-29,completed,615.38
385,282,2025-01-17,completed,1716.3
386,977,2024-11-06,completed,75.0
387,663,2024-04-21,returned,2241.65
388,937,2024-04-16,completed,7514.92
389,563,2024-04-25,completed,2421.13
390,50,2025-09-13,completed,3643.84
391,150,2024-08-19,completed,1336.44
392,196,2025-02-26,returned,1716.94
393,261,2026-01-11,completed,401.51
394,537,2024-05-30,completed,199.2
395,507,2024-07-31,completed,134.72
397,625,2024-12-08,completed,769.16
398,950,2024-10-26,completed,519.36
399,471,2024-05-27,completed,1200.88
400,226,2024-03-27,returned,699.56
401,852,2025-04-25,cancelled,1040.21
403,423,2024-11-15,completed,133.42
404,184,2025-09-10,completed,1123.56
405,175,2024-12-07,completed,299.65
406,672,2025-10-08,completed,1291.59
407,767,2025-04-08,completed,5295.48
408,721,2024-12-14,returned,571.14
409,762,2025-07-06,completed,98.56
410,189,2024-08-18,completed,4398.16
411,530,2024-12-23,completed,432.92
412,519,2025-12-26,completed,207.12
413,276,2024-06-21,completed,706.05
414,995,2025-09-11,completed,1791.98
415,923,2024-06-13,completed,3275.77
416,422,2025-05-20,completed,1666.69
417,241,2026-01-13,completed,3791.43
418,228,2025-07-09,completed,405.96
419,597,2024-08-04,completed,1852.72
420,982,2025-08-15,cancelled,87.39
421,282,2026-01-23,completed,2876.4
424,647,2024-11-23,completed,1239.22
425,455,2025-08-30,cancelled,1825.12
426,637,2026-03-11,completed,86.49
427,301,2024-08-12,completed,5202.22
428,346,2025-08-26,completed,678.63
429,931,2024-04-19,completed,1513.74
430,961,2024-08-05,completed,1441.43
431,629,2025-04-24,completed,7508.39
432,812,2024-09-18,completed,1350.56
433,489,2025-12-19,completed,3257.62
434,459,2025-12-01,completed,1316.98
435,348,2026-01-09,completed,1665.84
436,133,2026-02-28,completed,5632.31
437,114,2026-01-01,cancelled,332.38
438,747,2025-02-08,completed,201.54
439,564,2025-08-24,returned,1553.92
440,111,2026-01-12,completed,3297.26
441,282,2024-05-06,completed,245.2
442,198,2025-01-18,completed,6993.01
443,190,2026-01-27,cancelled,3246.41
444,884,2025-03-21,completed,1590.0
445,838,2024-04-02,completed,2175.17
446,176,2025-05-29,completed,785.05
448,149,2024-06-20,completed,2505.99
449,382,2024-04-20,completed,4167.51
450,130,2025-05-05,completed,5211.68
451,151,2025-10-19,completed,749.52
452,72,2025-08-07,cancelled,3168.11
453,582,2025-09-10,cancelled,4416.41
454,748,2025-01-02,completed,1974.92
455,439,2025-07-31,completed,327.72
456,823,2025-12-14,completed,625.53
457,183,2026-02-26,completed,1940.92
458,177,2024-07-16,completed,762.5
460,241,2024-12-23,completed,394.05
461,184,2025-10-08,completed,1913.8
462,272,2025-01-05,completed,358.33
463,699,2024-10-02,completed,413.39
464,302,2024-07-30,completed,646.31
465,539,2024-07-12,returned,590.39
466,763,2024-08-24,completed,5282.47
467,628,2025-08-09,cancelled,435.3
468,642,2025-12-20,returned,2391.4
469,470,2025-10-16,cancelled,1004.81
470,614,2025-02-13,returned,1151.04
471,504,2025-08-17,completed,1259.64
472,791,2025-04-05,completed,63.82
473,710,2024-10-25,completed,2444.94
476,407,2025-04-25,completed,114.3
477,642,2024-07-21,completed,3005.66
478,838,2024-04-20,completed,2366.28
479,197,2024-09-08,cancelled,140.9
480,793,2024-04-15,returned,4366.64
481,667,2024-07-04,cancelled,5114.05
482,875,2025-12-23,completed,527.7
483,130,2026-01-24,completed,334.77
484,401,2024-10-01,completed,2131.02
485,629,2025-10-16,completed,257.01
486,940,2025-06-30,completed,1056.99
487,615,2024-09-16,completed,3761.18
488,295,2025-11-09,completed,1080.93
489,747,2025-04-12,returned,4163.72
490,59,2024-03-19,completed,296.6
491,60,2024-11-26,completed,2741.2
492,836,2025-06-03,completed,3953.92
493,740,2024-12-12,cancelled,1851.06
494,177,2024-05-17,completed,2682.28
495,923,2025-08-15,completed,411.92
496,915,2025-04-23,completed,3552.81
497,1000,2025-08-27,completed,2924.46
498,815,2025-01-10,completed,5664.69
499,341,2025-06-07,completed,1570.38
500,965,2024-11-10,completed,2885.76
501,987,2024-04-28,completed,294.86
503,609,2025-11-10,completed,2308.32
504,772,2024-08-25,cancelled,1555.49
505,843,2026-02-21,completed,2154.27
506,213,2024-07-25,completed,1432.85
507,362,2026-02-26,completed,1118.32
508,995,2025-04-14,completed,1147.29
